S_index,pattern_finder,induced_motifs,non_induced_motifs
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,1,1
12,1,0,0
13,0,0,0
14,0,0,0
15,0,1,1
16,0,0,0
17,0,0,0
18,0,0,0
19,1,1,1
20,0,0,0
21,0,0,0
22,0,0,0
23,0,1,1
24,1,0,0
25,0,0,0
26,0,1,1
27,0,1,1
28,0,1,1
29,0,0,0
30,0,0,0
31,0,0,0
32,1,1,1
33,0,0,0
34,1,1,1
35,1,1,1
36,0,0,0
37,0,1,1
38,0,0,0
39,1,1,1
40,0,1,1
41,0,0,0
42,1,0,0
43,1,0,0
44,0,0,0
45,0,1,1
46,1,0,0
47,1,0,0
48,0,1,1
49,0,0,0
50,0,0,0
51,0,0,0
52,1,0,0
53,1,1,1
54,0,1,1
55,0,1,1
56,0,1,1
57,0,0,0
58,1,1,1
59,1,1,1
60,1,0,0
61,0,0,0
62,1,1,1
63,0,0,0
64,0,0,0
65,0,1,1
66,0,1,1
67,0,1,1
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,1,1
76,0,0,0
77,0,0,0
78,1,1,1
79,0,1,1
80,1,0,0
81,1,1,1
82,0,1,1
83,0,1,1
84,0,0,0
85,0,1,1
86,0,1,1
87,0,1,1
88,1,0,0
89,0,0,0
90,0,1,1
91,0,0,0
92,0,1,1
93,1,1,1
94,0,0,0
95,1,1,1
96,0,0,0
97,0,0,0
98,1,0,0
99,1,0,0
100,0,0,0
101,0,1,1
102,0,0,0
103,0,0,0
104,0,1,1
105,0,1,1
106,0,1,1
107,0,0,0
108,0,1,1
109,0,1,1
110,1,1,1
111,1,1,1
112,1,1,1
113,0,1,1
114,1,0,0
115,1,0,0
116,1,0,0
117,0,0,0
118,0,1,1
119,1,1,1
120,0,1,1
121,0,0,0
122,0,0,0
123,1,1,1
124,0,1,1
125,1,1,1
126,0,1,1
127,0,1,1
128,0,1,1
129,0,0,0
130,0,1,1
131,1,0,0
