S_index,pattern_finder,induced_motifs,non_induced_motifs
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,1,1
13,0,1,1
14,0,0,0
15,0,1,1
16,1,0,0
17,0,0,0
18,0,0,0
19,1,1,1
20,0,0,0
21,0,1,1
22,1,1,1
23,0,1,1
24,0,0,0
25,0,0,0
26,0,1,1
27,0,1,1
28,0,0,0
29,0,0,0
30,0,0,0
31,0,1,1
32,1,1,1
33,0,1,1
34,0,0,0
35,0,1,1
36,0,0,0
37,0,0,0
38,0,1,1
39,0,0,0
40,0,0,0
41,0,1,1
42,0,1,1
43,0,1,1
44,1,1,1
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,1,1,1
50,0,1,1
51,0,1,1
52,0,1,1
53,0,1,1
54,1,0,0
55,1,1,1
56,0,1,1
57,0,1,1
58,0,0,0
59,1,1,1
60,0,0,0
61,0,0,0
62,0,1,1
63,0,0,0
64,0,1,1
65,0,0,0
66,0,1,1
67,0,1,1
68,0,1,1
69,1,1,1
70,0,0,0
71,0,1,1
72,0,0,0
73,0,0,0
74,1,1,1
75,0,1,1
76,0,1,1
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,1,1
82,0,0,0
83,0,1,1
84,0,1,1
85,0,0,0
86,0,1,1
87,0,0,0
88,1,0,0
89,0,0,0
90,0,0,0
91,0,1,1
92,1,1,1
93,1,1,1
94,0,0,0
95,0,0,0
96,1,0,0
97,0,1,1
98,0,1,1
99,0,1,1
100,0,0,0
101,0,0,0
102,0,1,1
103,0,1,1
104,1,1,1
105,0,0,0
106,1,0,0
107,1,0,0
108,0,1,1
109,0,0,0
110,0,0,0
111,0,1,1
112,1,1,1
113,0,0,0
114,0,1,1
115,0,0,0
116,1,0,0
117,0,0,0
118,0,0,0
119,0,1,1
120,0,1,1
121,0,1,1
122,1,1,1
123,1,1,1
124,0,0,0
125,0,1,1
126,0,1,1
127,0,1,1
128,0,1,1
129,0,0,0
130,0,1,1
131,0,0,0
