S_index,pattern_finder,induced_motifs
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,1
12,0,1
13,0,1
14,1,1
15,1,1
16,0,1
17,0,1
18,1,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,1,1
25,1,1
26,1,1
27,1,1
28,0,1
29,1,1
30,1,1
31,0,1
32,0,1
33,1,1
34,1,1
35,0,1
36,0,1
37,0,1
38,1,1
39,1,1
40,0,1
41,0,1
42,0,1
43,1,1
44,0,1
45,0,1
46,0,1
47,0,1
48,1,1
49,1,1
50,1,1
51,0,1
52,1,1
53,1,1
54,0,1
55,1,1
56,1,1
57,0,1
58,1,1
59,0,1
60,1,1
61,1,1
62,0,1
63,1,1
64,1,1
65,0,1
66,0,1
67,1,1
68,0,1
69,1,1
70,0,1
71,1,1
72,1,1
73,0,1
74,0,1
75,0,1
76,1,1
77,1,1
78,1,1
79,1,1
80,0,1
81,0,1
82,1,1
83,0,1
84,1,1
85,0,1
86,0,1
87,1,1
88,1,1
89,0,1
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,0,1
96,0,1
97,1,1
98,0,1
99,1,1
100,0,1
101,0,1
102,1,1
103,0,1
104,0,1
105,1,1
106,1,1
107,1,1
108,0,1
109,0,1
110,0,1
111,1,1
112,0,1
113,0,1
114,1,1
115,0,1
116,0,1
117,0,1
118,1,1
119,0,1
120,0,1
121,0,1
122,0,1
123,1,1
124,0,1
125,1,1
126,1,1
127,0,1
128,0,1
129,0,1
130,0,1
131,0,1
132,0,1
133,0,1
134,0,1
135,1,1
136,0,1
137,1,1
138,0,1
139,1,1
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,1,1
147,1,1
148,0,1
149,0,1
150,1,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,1,1
158,1,1
159,1,1
160,0,1
161,1,1
162,0,1
163,1,1
164,0,1
165,0,1
166,0,1
167,0,1
168,1,1
169,0,1
170,0,1
171,1,1
172,1,1
173,0,1
174,0,1
175,1,1
176,0,1
177,0,1
178,0,1
179,0,1
180,1,1
181,0,1
182,0,1
183,0,1
184,1,1
185,1,1
186,0,1
187,0,1
188,1,1
189,0,1
190,0,1
191,1,1
192,0,1
193,0,1
194,1,1
195,1,1
196,1,1
197,0,1
198,1,1
199,0,1
200,0,1
201,0,1
202,1,1
203,0,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,1
209,0,1
210,1,1
211,0,1
212,0,1
213,0,1
214,1,1
215,1,1
216,1,1
217,0,1
218,0,1
219,0,1
220,1,1
221,0,1
222,0,1
223,1,1
224,0,1
225,1,1
226,1,1
227,0,1
228,1,1
229,0,1
230,1,1
231,0,1
232,0,1
233,0,1
234,1,1
235,1,1
236,0,1
237,0,1
238,1,1
239,0,1
240,0,1
241,1,1
242,0,1
243,0,1
244,1,1
245,1,1
