S_index,pattern_finder,induced_motifs
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,1
12,0,1
13,0,1
14,1,1
15,0,1
16,0,1
17,1,1
18,1,1
19,1,1
20,0,1
21,0,1
22,1,1
23,0,1
24,1,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,1,1
32,1,1
33,1,1
34,0,1
35,0,1
36,0,1
37,1,1
38,1,1
39,0,1
40,0,1
41,0,1
42,0,1
43,1,1
44,1,1
45,0,1
46,0,1
47,1,1
48,1,1
49,1,1
50,0,1
51,1,1
52,0,1
53,0,1
54,1,1
55,1,1
56,0,1
57,1,1
58,1,1
59,0,1
60,1,1
61,0,1
62,0,1
63,1,1
64,0,1
65,0,1
66,1,1
67,0,1
68,0,1
69,1,1
70,1,1
71,1,1
72,0,1
73,1,1
74,1,1
75,0,1
76,1,1
77,0,1
78,1,1
79,1,1
80,1,1
81,0,1
82,0,1
83,0,1
84,0,1
85,1,1
86,0,1
87,1,1
88,0,1
89,1,1
90,0,1
91,0,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,0,1
99,1,1
100,0,1
101,0,1
102,0,1
103,0,1
104,1,1
105,0,1
106,1,1
107,1,1
108,1,1
109,0,1
110,1,1
111,0,1
112,1,1
113,1,1
114,0,1
115,0,1
116,1,1
117,0,1
118,1,1
119,0,1
120,1,1
121,0,1
122,1,1
123,1,1
124,0,1
125,0,1
126,0,1
127,0,1
128,0,1
129,0,1
130,1,1
131,1,1
132,1,1
133,0,1
134,0,1
135,1,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,1
141,0,1
142,1,1
143,0,1
144,0,1
145,0,1
146,1,1
147,1,1
148,0,1
149,1,1
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,1,1
158,0,1
159,0,1
160,1,1
161,0,1
162,0,1
163,0,1
164,1,1
165,1,1
166,0,1
167,1,1
168,0,1
169,1,1
170,1,1
171,0,1
172,1,1
173,0,1
174,1,1
175,1,1
176,0,1
177,0,1
178,1,1
179,1,1
180,1,1
181,0,1
182,1,1
183,0,1
184,0,1
185,0,1
186,0,1
187,0,1
188,0,1
189,0,1
190,0,1
191,1,1
192,1,1
193,0,1
194,0,1
195,0,1
196,1,1
197,1,1
198,0,1
199,0,1
200,0,1
201,0,1
202,1,1
203,1,1
204,0,1
205,0,1
206,1,1
207,0,1
208,0,1
209,1,1
210,0,1
211,1,1
212,1,1
213,1,1
214,0,1
215,1,1
216,1,1
217,0,1
218,0,1
219,0,1
220,1,1
221,0,1
222,0,1
223,1,1
224,0,1
225,0,1
226,1,1
227,1,1
228,1,1
229,0,1
230,1,1
231,0,1
232,0,1
233,1,1
234,1,1
235,1,1
236,0,1
237,1,1
238,0,1
239,0,1
240,1,1
241,0,1
242,1,1
243,0,1
244,0,1
245,0,1
