S_index,pattern_finder,non_induced_motifs
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,1
12,1,1
13,0,1
14,0,1
15,1,1
16,1,1
17,0,1
18,0,1
19,0,1
20,1,1
21,0,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,0,1
29,1,1
30,0,1
31,0,1
32,1,1
33,1,1
34,1,1
35,0,1
36,1,1
37,0,1
38,1,1
39,0,1
40,1,1
41,0,1
42,0,1
43,0,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,0,1
51,1,1
52,0,1
53,0,1
54,1,1
55,1,1
56,0,1
57,1,1
58,0,1
59,1,1
60,1,1
61,1,1
62,0,1
63,0,1
64,0,1
65,1,1
66,1,1
67,1,1
68,0,1
69,0,1
70,1,1
71,1,1
72,1,1
73,1,1
74,0,1
75,0,1
76,0,1
77,0,1
78,1,1
79,1,1
80,1,1
81,1,1
82,0,1
83,0,1
84,1,1
85,1,1
86,0,1
87,1,1
88,1,1
89,0,1
90,1,1
91,1,1
92,0,1
93,1,1
94,1,1
95,1,1
96,1,1
97,0,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,0,1
105,1,1
106,1,1
107,0,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,0,1
116,1,1
117,1,1
118,1,1
119,0,1
120,1,1
121,1,1
122,1,1
123,0,1
124,0,1
125,0,1
126,1,1
127,0,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,0,1
139,0,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,0,1
149,1,1
150,0,1
151,1,1
152,0,1
153,0,1
154,1,1
155,1,1
156,1,1
157,0,1
158,0,1
159,0,1
160,1,1
161,1,1
162,0,1
163,0,1
164,1,1
165,1,1
166,1,1
167,1,1
168,0,1
169,0,1
170,0,1
171,1,1
172,0,1
173,0,1
174,1,1
175,1,1
176,0,1
177,1,1
178,1,1
179,0,1
180,1,1
181,1,1
182,0,1
183,0,1
184,1,1
185,0,1
186,0,1
187,0,1
188,1,1
189,1,1
190,1,1
191,0,1
192,1,1
193,1,1
194,1,1
195,1,1
196,0,1
197,1,1
198,0,1
199,1,1
200,1,1
201,0,1
202,0,1
203,0,1
204,1,1
205,0,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,0,1
213,1,1
214,0,1
215,1,1
216,0,1
217,1,1
218,1,1
219,1,1
220,0,1
221,1,1
222,0,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,0,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,0,1
235,0,1
236,0,1
237,1,1
238,1,1
239,1,1
240,0,1
241,0,1
242,1,1
243,1,1
244,0,1
245,0,1
