file,pattern_finder,induced_motifs,non_induced_motifs,sum_failed
g_den_10_embedded_den_3_average_0.csv,69,990,990,990
g_den_10_embedded_den_3_rare_0.csv,274,985,985,985
g_den_10_embedded_den_3_uniform_0.csv,192,990,990,990
g_den_10_embedded_den_5_average_0.csv,322,990,990,990
g_den_10_embedded_den_5_rare_0.csv,399,990,990,990
g_den_10_embedded_den_5_uniform_0.csv,395,990,990,990
g_den_13_embedded_den_3_average_0.csv,54,987,987,987
g_den_13_embedded_den_3_rare_0.csv,274,962,962,970
g_den_13_embedded_den_3_uniform_0.csv,192,990,990,990
g_den_13_embedded_den_5_average_0.csv,254,990,990,990
g_den_13_embedded_den_5_rare_0.csv,637,990,990,990
g_den_13_embedded_den_5_uniform_0.csv,395,990,990,990
g_den_15_embedded_den_3_average_0.csv,146,990,990,990
g_den_15_embedded_den_3_rare_0.csv,274,497,497,626
g_den_15_embedded_den_3_uniform_0.csv,192,563,557,634
g_den_15_embedded_den_5_average_0.csv,187,990,990,990
g_den_15_embedded_den_5_rare_0.csv,398,990,990,990
g_den_15_embedded_den_5_uniform_0.csv,395,990,990,990
g_den_5_embedded_den_3_average_0.csv,178,990,990,990
g_den_5_embedded_den_3_rare_0.csv,267,990,990,990
g_den_5_embedded_den_3_uniform_0.csv,190,990,990,990
g_den_8_embedded_den_3_average_0.csv,30,983,983,983
g_den_8_embedded_den_3_rare_0.csv,267,910,909,931
g_den_8_embedded_den_3_uniform_0.csv,192,990,990,990
g_den_8_embedded_den_5_average_0.csv,394,990,990,990
g_den_8_embedded_den_5_rare_0.csv,540,990,990,990
g_den_8_embedded_den_5_uniform_0.csv,375,990,990,990
induced_average_deg_15_.csv,610,990,0,990
induced_average_deg_3_.csv,361,990,0,990
induced_average_deg_5_.csv,436,990,0,990
induced_average_deg_8_.csv,557,990,0,990
induced_rare_deg_15_.csv,615,990,0,990
induced_rare_deg_3_.csv,430,990,0,990
induced_rare_deg_5_.csv,356,990,0,990
induced_rare_deg_8_.csv,568,990,0,990
induced_uniform_deg_15_.csv,545,990,0,990
induced_uniform_deg_3_.csv,421,915,0,954
induced_uniform_deg_5_.csv,498,990,0,990
induced_uniform_deg_8_.csv,600,990,0,990
non_induced_average_deg_15_.csv,642,0,990,990
non_induced_average_deg_3_.csv,320,0,990,990
non_induced_average_deg_5_.csv,493,0,990,990
non_induced_average_deg_8_.csv,603,0,990,990
non_induced_rare_deg_15_.csv,640,0,990,990
non_induced_rare_deg_3_.csv,504,0,990,990
non_induced_rare_deg_5_.csv,507,0,990,990
non_induced_rare_deg_8_.csv,597,0,990,990
non_induced_uniform_deg_15_.csv,640,0,990,990
non_induced_uniform_deg_3_.csv,451,0,990,990
non_induced_uniform_deg_5_.csv,549,0,990,990
non_induced_uniform_deg_8_.csv,651,0,990,990
