graph,algorithm,preprocessing_s,search_s,total_s
g_den_5_embedded_den_3_uniform_0,pattern_finder,3796.41,81.803,3878.213
g_den_5_embedded_den_3_average_0,pattern_finder,3389.807,74.953,3464.76
g_den_5_embedded_den_3_rare_0,pattern_finder,3873.924,91.359,3965.282
g_den_8_embedded_den_3_uniform_0,pattern_finder,3796.41,130.038,3926.449
g_den_8_embedded_den_3_average_0,pattern_finder,3389.807,178.383,3568.19
g_den_8_embedded_den_3_rare_0,pattern_finder,3873.924,631.457,4505.38
g_den_10_embedded_den_3_uniform_0,pattern_finder,3796.41,122.371,3918.781
g_den_10_embedded_den_3_average_0,pattern_finder,3389.807,131.761,3521.568
g_den_10_embedded_den_3_rare_0,pattern_finder,3873.924,307.601,4181.524
g_den_13_embedded_den_3_uniform_0,pattern_finder,3796.41,148.833,3945.244
g_den_13_embedded_den_3_average_0,pattern_finder,3389.807,238.779,3628.586
g_den_13_embedded_den_3_rare_0,pattern_finder,3873.924,673.067,4546.991
g_den_15_embedded_den_3_uniform_0,pattern_finder,3796.41,240.377,4036.787
g_den_15_embedded_den_3_average_0,pattern_finder,3389.807,74.486,3464.292
g_den_15_embedded_den_3_rare_0,pattern_finder,3873.924,3541.139,7415.063
g_den_8_embedded_den_5_uniform_0,pattern_finder,5226.908,112.297,5339.205
g_den_8_embedded_den_5_average_0,pattern_finder,5434.447,122.878,5557.325
g_den_8_embedded_den_5_rare_0,pattern_finder,5393.956,145.907,5539.863
g_den_10_embedded_den_5_uniform_0,pattern_finder,5226.908,129.09,5355.998
g_den_10_embedded_den_5_average_0,pattern_finder,5434.447,147.774,5582.221
g_den_10_embedded_den_5_rare_0,pattern_finder,5393.956,304.861,5698.817
g_den_13_embedded_den_5_uniform_0,pattern_finder,5226.908,154.575,5381.482
g_den_13_embedded_den_5_average_0,pattern_finder,5434.447,252.068,5686.515
g_den_13_embedded_den_5_rare_0,pattern_finder,5393.956,610.033,6003.989
g_den_15_embedded_den_5_uniform_0,pattern_finder,5226.908,172.551,5399.459
g_den_15_embedded_den_5_average_0,pattern_finder,5434.447,444.323,5878.77
g_den_15_embedded_den_5_rare_0,pattern_finder,5393.956,1176.759,6570.715
special_uniform_k3,pattern_finder,3796.41,70.98,3867.391
special_uniform_k5,pattern_finder,5226.908,87.911,5314.819
special_uniform_k8,pattern_finder,,110.731,
special_uniform_k15,pattern_finder,12976.621,205.078,13181.699
special_average_k3,pattern_finder,3389.807,64.086,3453.893
special_average_k5,pattern_finder,5434.447,96.434,5530.881
special_average_k8,pattern_finder,7601.436,125.468,7726.904
special_average_k15,pattern_finder,2000.772,250.799,2251.571
special_rare_k3,pattern_finder,3873.924,76.237,3950.161
special_rare_k5,pattern_finder,5393.956,95.442,5489.398
special_rare_k8,pattern_finder,7810.849,169.95,7980.799
special_rare_k15,pattern_finder,13477.307,281.061,13758.367
DHFR-MD,pattern_finder,93.553,1313.879,1407.432
Mutagenicity,pattern_finder,93.553,134.549,228.102
special_uniform_k3,motif_induced,5963.737,62.86,6026.598
special_average_k3,motif_induced,5867.843,66.477,5934.32
special_rare_k3,motif_induced,4469.779,64.914,4534.693
special_uniform_k8,motif_induced,14445.331,1029.208,15474.539
special_average_k8,motif_induced,12873.618,831.055,13704.674
special_rare_k8,motif_induced,11086.708,761.468,11848.176
special_uniform_k15,motif_induced,50013.996,4491.232,54505.228
special_average_k15,motif_induced,50194.697,4373.648,54568.345
special_rare_k15,motif_induced,49085.557,4370.27,53455.827
special_uniform_k5,motif_induced,5641.337,179.125,5820.462
special_average_k5,motif_induced,5655.958,180.616,5836.574
special_rare_k5,motif_induced,4823.91,176.153,5000.062
special_uniform_k3,motif_non_induced,4187.232,44.33,4231.562
special_average_k3,motif_non_induced,4209.676,47.78,4257.456
special_rare_k3,motif_non_induced,3136.49,47.805,3184.296
special_uniform_k8,motif_non_induced,11454.101,428.136,11882.238
special_average_k8,motif_non_induced,11174.65,751.049,11925.699
special_rare_k8,motif_non_induced,9821.845,711.264,10533.109
special_uniform_k15,motif_non_induced,50252.9,4309.3,54562.2
special_average_k15,motif_non_induced,50777.644,4632.196,55409.84
special_rare_k15,motif_non_induced,49529.319,4569.349,54098.668
special_uniform_k5,motif_non_induced,5690.0,186.369,5876.369
special_average_k5,motif_non_induced,5599.834,184.262,5784.096
special_rare_k5,motif_non_induced,4622.544,181.191,4803.736
