S_Number,Found_in_G
# Pattern Generation Time: 3389.806719664 seconds
# Subgraph Testing Time: 64.415482665 seconds
# Total S not found: 320
# Total S found: 680
# Note: 1 = S in "not found" list (definitely not in G), 0 = S not in list (may be in G)
#
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,0
306,0
307,1
308,1
309,1
310,0
311,1
312,0
313,1
314,1
